Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 28.57      0.08     0.08  3369413     0.02     0.02  blit_bm_font
 10.71      0.11     0.03    57749     0.52     1.37  print_str_len
 10.71      0.14     0.03                             sound_process_fg
  7.14      0.16     0.02   595715     0.03     0.03  blit_bm
  7.14      0.18     0.02     5112     3.91    17.83  tship::play_draw()
  7.14      0.20     0.02     5012     3.99    19.80  draw_scroll_fg()
  7.14      0.22     0.02     3680     5.44     7.13  display_message
  3.57      0.23     0.01    45871     0.22     0.57  print_str
  3.57      0.24     0.01     5112     1.96     1.97  tdroid::draw_laser(tfloor*, int, int)
  3.57      0.25     0.01     5112     1.96     5.19  tfloor::draw()
  3.57      0.26     0.01     5112     1.96     4.79  console_message_display
  3.57      0.27     0.01      261    38.32    38.32  put_snd_event
  3.57      0.28     0.01                             draw_h
  0.00      0.28     0.00    81266     0.00     0.00  tentity::snap_shot()
  0.00      0.28     0.00    78737     0.00     0.00  tdroid::snap_shot()
  0.00      0.28     0.00    73935     0.00     0.00  blit_rect
  0.00      0.28     0.00    73625     0.00     0.00  tdroid::draw(tfloor*, int, int)
  0.00      0.28     0.00    39707     0.00     0.09  tdroid::bg_calc_laser()
  0.00      0.28     0.00    39707     0.00     0.02  tdroid::bg_calc()
  0.00      0.28     0.00    36702     0.00     0.00  tdroid_108::block_detect()
  0.00      0.28     0.00    36702     0.00     0.00  tdroid_108::bg_calc()
  0.00      0.28     0.00    26545     0.00     0.00  tpower_bay::draw(int, int)
  0.00      0.28     0.00    24684     0.00     0.00  tentity::colision_floor()
  0.00      0.28     0.00    23666     0.00     0.04  tentity::colision_detect()
  0.00      0.28     0.00    23666     0.00     0.04  tentity::bg_calc()
  0.00      0.28     0.00    23631     0.00     0.04  tentity::colision_doors()
  0.00      0.28     0.00    23585     0.00     0.00  tentity::colision_droids()
  0.00      0.28     0.00    23486     0.00     0.00  tdroid::recharge()
  0.00      0.28     0.00    22621     0.00     0.13  tdroid::draw_droid(int, int)
  0.00      0.28     0.00    14613     0.00     0.00  get_kb_event
  0.00      0.28     0.00    12783     0.00     0.00  tdroid_108::set_dir_vect(float, float)
  0.00      0.28     0.00    10907     0.00     0.00  tdoor::bg_calc()
  0.00      0.28     0.00    10861     0.00     0.11  tdroid_513::bg_calc()
  0.00      0.28     0.00    10411     0.00     0.00  tdroid::friction()
  0.00      0.28     0.00     8536     0.00    15.80  intro_draw()
  0.00      0.28     0.00     6071     0.00     0.04  tdroid_606::attack()
  0.00      0.28     0.00     5568     0.00    17.50  game_run_draw()
  0.00      0.28     0.00     5568     0.00     0.75  tship::level_check_event()
  0.00      0.28     0.00     5568     0.00    16.75  tship::level_run()
  0.00      0.28     0.00     5245     0.00     0.00  tship::draw_ntitle()
  0.00      0.28     0.00     5245     0.00     0.19  tship::print_score()
  0.00      0.28     0.00     5112     0.00     2.11  tparadroid::draw()
  0.00      0.28     0.00     5112     0.00     6.15  tship::print_info()
  0.00      0.28     0.00     5112     0.00     0.00  tfloor::set_pos(int, int)
  0.00      0.28     0.00     3571     0.00     0.00  read_ln
  0.00      0.28     0.00     2808     0.00     1.86  tship::level_bg_calc()
  0.00      0.28     0.00     2808     0.00     0.00  shake_calc
  0.00      0.28     0.00     2639     0.00     0.00  tdroid_805::attack()
  0.00      0.28     0.00     2578     0.00     0.01  tdroid_513::attack()
  0.00      0.28     0.00     2578     0.00     0.23  tparadroid::bg_calc()
  0.00      0.28     0.00     2578     0.00     0.00  tfloor::bg_calc()
  0.00      0.28     0.00     2532     0.00     0.00  get_special_key_state
  0.00      0.28     0.00     2526     0.00     0.03  tlaser::draw(tfloor*, int, int)
